phrase,topics1,topics2,topics3,topics4
он не выдал деньги,Не выдал деньги (_Local_Didnt_Give_Money),,,
банкомат не выдал деньги,Банкоматы (_Local_ATM),Не выдал деньги (_Local_Didnt_Give_Money),,
мне нужен специалист по брокерским счетам,Брокерский счет (_Local_Brokerage),_General Инвестиции (_General_Investing),,
Найдена карта клиента 3м лицом ,Разблокировать карту (_General_UnBlock),,,
Украли / Потерял телефон,Разблокировать карту (_General_UnBlock),,,
Справка для гос служащего с наличием брокеских счетов,Справка (_Local_Reference),_General Справка (_General_Reference),,
Не типовая справка,Вместо консультации на оператора,,,
Хамство оператора,Сотрудник банка (_Local_Bank_Employee),,,
Оценка  сотрудника,Сотрудник банка (_Local_Bank_Employee),,,
Претензия/Заявление,_General Статус претензии (_General_ClaimStat),,,
Жалоба,УВ Заявление (UV_Statement),,,
Не проходит оплата по карте / не проходит операция по карте / карта не проходит,Карта не работает (_General_Cardnotworking),,,
Несанкционированное списание\снятие,Мошенничество_UNI (_General_Fraud_UNI),,,
Мне не отвечают в чате / Долго отвечают в чате ,Без вопроса (_General_Whithout_Question),,,
Ошибочно перевели на банк ,Отменить перевод (_Local_Cancel_Transfer_Payment),,,
Я отправила перевод со сбербанка на свой счет в банке он нашел не тому человеку что мне делать,Вместо консультации на оператора,,,
Какую сумму я могу снять без комиссии в банкоматах,Лимиты (_Local_Limits),УВ Лимит (UV_Limit),,
Какую сумму я могу снять без комиссии в банкоматах с дебетовой карты,Лимит карты (_General_CARD_LIMIT_UKD),Дебетовая карта (_Local_Debit_Card),,
Купить билеты за мили,Вместо консультации на оператора,,,
Наличными оплатить можно без комиссии в офис банке,Вместо консультации на оператора,,,
Хочу узнать комиссию при оплате qr коду,_General Платеж по QR (_General_Payment_QR),,,
Вопрос по поводу кэшбек по тысячи рублей,Кэшбэк (_Local_Cashback),,,
Отменить комиссия за снятие наличных по кредитной карте,Комиссия (_Local_Commission),,,
Комиссия за ведение валютного счета,Вместо консультации на оператора,,,
Добавить карту в приложение/ привязать карту в приложение,Вместо консультации на оператора,,,
Добавить карту в телефон ,Бесконтактная оплата (_General_Pay),,,
Связаться с кредитным специалистом,Оператор (Operator),_General Оператор (_General_Operator),,
Связаться с кредитным отделом,Без вопроса (_General_Whithout_Question),,,
Зарегистрировать карту/авторизовать,Вместо консультации на оператора,,,
Состояние карты, УВ Карта (UV_Card),Карта (_Local_Card),,
Состояние счета ,УВ Счет (UV_Account) ,,,
График платежей по кредиту,Условия (_Local_Conditions),,,
Какой номер телефона у меня привязан ,Запрос кодового слова (_General_Codeword_request),,,
Не работает приложение не могу закрыть счет счет не закрывается нужен оператор,_General Закрытие счета (_General_Account_Off),Отказаться (_Local_Refuse),,
Блокировка мобайла/-Онлайн,_General Разблокировать карту (_General_UnBlock),,,
Где забрать карту,Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness),,
Где получить  карту,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (_Local_Debit_Card),,
Заказать зп карту,Вместо консультации на оператора,,,
Получить зп карту\где зп карта,Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness),,
Привязать карту к телефону\в телефон,Бесконтактная оплата (_General_Pay),,,
Не могу зайти в приложение заблокирована карта,Вместо консультации на оператора,,,
Активировать детскую карту,Активация (_General_Activation),Активация (_Local_Activate),,
Установить пин код на детскую карту,Вместо консультации на оператора,,,
Карту перевыпустить размагнитилась,Карта не работает (_General_Cardnotworking),,,
"Снять деньги в офисе, кассе, у операциониста",Заказ денег УКД (_General_ZAKAZ_DENGI_UKD),Заказ денег УКД (_Local_Zakaz_Dengi_UKD),,
Отказ от рекламных звонков ,Реклама (_Local_Advertising),,,
Не знаю номер карты/счета для входа в приложение,Временный пароль (_Local_Temp_Password),,,
"Мне звонили, оформили кредит (действие совершено)",Мошенничество_UNI (_General_Fraud_UNI),,,
Не знаю сумму кредита,Условия (_Local_Conditions),Кредит наличными (Про платеж) (_Local_DIS_Credit),,
Партнерская программа,Вместо консультации на оператора,,,
Курьер не отдает карту ,Курьерская доставка (_General_Express_Delivery),Курьерская доставка (CourierDelivery),,
Сотрудник / менеджер не отдает карту ,Вместо консультации на оператора,,,
Заказать стикер к карте кредитной или кредитный стикер,Вместо консультации на оператора,,,
"Заказать  стикер, Заказать стикер",Платежные Стикеры (_General_Payment_Stickers),,,
Заказал стикер ,УВ Карта (UV_Card),Карта (_Local_Card),,
Мне перевели на заблокированный счет/карту,Вместо консультации на оператора,,,
перевела на заблокированный счет/карту,Отменить перевод (_Local_Cancel_Transfer_Payment),,,
Электронная подпись,Вместо консультации на оператора,,,
 тревел,Без вопроса (_General_Whithout_Question),,,
"Хочу связь с оператором уточнить информацию по поводу того что пополнила кредитную карту деньги получается / 
Хотела бы узнать поступил ли у меня платеж на кредитную карту последние семьсот рублей",Кредитная картаКредитка (_Local_Credit_Card),,,
Статус платежа,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Внесение платежа,УВ Платеж (UV_Payment),,,
Не  могу получить выписку ,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Не могу получить квитанцию ,Квитанция (_General_Cheque),,,
Не могу получить справку ,Справка (_General_Reference),Справка (_Local_Reference),,
Не могу обновить данные паспорта ,Замена паспорта (_General_PassportChange),,,
Не могу активировать карту  ,Активация (_General_Activation),Активация (_Local_Activate),,
Не могу заказать карту ,Вместо консультации на оператора,,,
Не могу поменять номер в банке ,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
Актуализировать номер телефона,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
Снятие с карты в банкомате стороннего банка,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Мне нужнА карта ,УВ Получение карты (UV_TakeCard)  ,,,
Мне нужнО карту,УВ Карта (UV_Card),Карта (_Local_Card),,
Не получиЛ карту / Не получилИ карту,Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness),,
Проблема с получением карты / Не могу получить карту,Вместо консультации на оператора,,,
Как мне заказать карту через ссылку по пригласи друга,Условия (_Local_Conditions),,,
Делали заявку на карту,УВ Карта (UV_Card),Карта (_Local_Card),,
Нужно кредит / Не нужен кредит / Не нужнО кредит / Мне не надо кредит / Хочу кредит / Нужен кредит,УВ Кредит (UV_Credit),Кредит (_Local_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit)
Сервис заправки / Заправки / Не прошла оплата на заправке,Вместо консультации на оператора,,,
Кэшбэк заправка,Кэшбэк (_Local_Cashback),,,
 Афиша / купить билет в кино / купить билет в театр,Вместо консультации на оператора,,,
Сервис  Тревел / купить авиабилет / купить жд билет / оплатить отель,Вместо консультации на оператора,,,
Мне не могут перевести из другого банка / мне не могут перевести,Проблема с переводом (_Local_Cant_Transfer),,,
Активация,Активация (_Local_Activate),,,
Вопросы по  форексу,Вместо консультации на оператора,,,
Вопросы по  капиталу,Вместо консультации на оператора,,,
Покупка драгоценных металлов в слитках,Вместо консультации на оператора,,,
Хочу перевести на счету доверительного управления на свой текущий счет,Вместо консультации на оператора,,,
Хочу снять деньги с инвест копилки,_General Инвестиции (_General_Investing),,,
Почему не нужно оплатить ежемесячный платёж ,Вместо консультации на оператора,,,
Хочу заблокировать (без уточнения чего-либо),Потерял карту (_Local_Lost_Card),,,
Уменьшить лимит ,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
"Если клиент называет номер телефона и спрашивает, к нему ли привязана карта",Запрос кодового слова (_General_Codeword_request),,,
Ставка по кредиту,Условия (_Local_Conditions),,,
Я хочу лимит повысить,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
Найти старый счет,Вместо консультации на оператора,,,
Наличие чипов детской карте,Вместо консультации на оператора,,,
По поводу кредитной карты снять собственные средства остатки,Вместо консультации на оператора,,,
Поменяли номер которого у меня нет,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
Связаться с оператором узнать что за счет мне открыли,Вместо консультации на оператора,,,
Снятие наличных с белорусской карты мир,Вместо консультации на оператора,,,
Можно ли выбрать офис куда доставить карту,Вместо консультации на оператора,,,
Заказывала кредитную карту пришел отказ банка,Вместо консультации на оператора,,,
Мне нужно открыть личный кабинет но у меня нет карты у меня нет счета,Временный пароль (_Local_Temp_Password),,,
Не могу войти в приложение так как номер сменился заблокирован,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
"Подвердить платеж, по движению средств, по истории",Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
По списанию,УВ Странные операции (UV_Strange_Operation),,,
Оформил кредит деньги не поступили соедините со специалистом ,Когда поступят деньги (_Local_Get_Money),,,
Не могу снять деньги с кк,Вместо консультации на оператора,,,
Не могу перевести с кк,Проблема с переводом (_Local_Cant_Transfer),,,
Сколько карт можно иметь на одного человека,Вместо консультации на оператора,,,
Трудности с платежом кредита,Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
По списанию процентов (без уточнения продукта),УВ Странные операции (UV_Strange_Operation),,,
случайно перевела не в тот банк,Отменить перевод (_Local_Cancel_Transfer_Payment),,,
получить одноразовый код доступа,Временный пароль (_Local_Temp_Password),,,
подобрать адрес доставки карты,Курьерская доставка (_General_Express_Delivery),Курьерская доставка (CourierDelivery),,
"Такие фразы как ""блин""",Без вопроса (_General_Whithout_Question),"если с матами,тогда на Невозможно",,
"Ограничение/приостановление по счетам , по карте",Вместо консультации оператора,,,
Положить деньги,_General Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
"Хочет заказать карту и уточняет что ему нет 18 лет, но не говорит какую именно карту",УВ Заказ новой карты,Новый продукт (_Local_Open),,
Восстановить доступ к приложению/восстановить вход в приложение,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
Восстановить приложение,скачать/обновить (_Local_Download),,,
Премиальный клиент я или нет,_General Трансфер (_General_Transfer),,,
"Не открывается ссылка, которую вы направили / не открывается ссылка (без всякого уточнения)",Вместо консультации / Без вопроса,,,
"Позвонить, дозвониться",_General Приветствие (_General_Hello),,,
Где деньги / где мои деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Статус (_Local_Status)
Связаться по добавочному номеру/ ввести добавочный номер/ добавочный номер,Вместо консультации оператора,,,
Не нужна мне комиссия мне нужны наличные деньги у меня Оформлен кредит в вашем банке пятьсот три/здравствуйте я вот Сегодня заказала кредит наличными мне одобрили мне нужно Снять наличные как это сделать,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Не зайти в приложение банка после обновления данных,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
Начислили проценты почему,Вместо консультации оператора,,,
Ускорить процесс получения кредита,Вместо консультации оператора,,,
 карта одноразовый код,Без вопроса (_General_Whithout_Question),,,
Лизинг,Вместо консультации оператора,,,
Представитель,Курьерская доставка (_General_Express_Delivery),Курьерская доставка (CourierDelivery),,
Получить доступ в приложение/доступ к личному кабинету,Нет доступа (_Local_No_Access),,,
Мой вопрос по акции рекомендуется инвестиции,Акция (_Local_Action),,,
обслуживание,Условия (_Local_Conditions),,,
доступ в личный кабинет ребенка,Нет доступа (_Local_No_Access),,,
заблокирован личный кабинет поэтому я хочу получить ответ на свое обращение,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
доступ к карте/счету,УВ Карта/УВ Счет,Карта (_Local_Card),,
списывают деньги с другого счета\ пытаетесь долги списали с другого счета,УВ Странные операции (UV_Strange_Operation),,,
Cменить контактный номер на карте ребенка,Вместо консультации оператора,,,
как оплатить а деньги (и подобные),_General Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
отменить комиссию/вернуть комиссию,Комиссия (_Local_Commission),,,
кредитование,_General Без вопроса (_General_Whithout_Question),,,
 перезвоните мне/заказать обратный звонок/пусть он мне перезвонит,_General Без вопроса (_General_Whithout_Question),,,
Меня просили перезвонить,Вместо консультации на оператора,,,
Кредитная и дебетовая карта,"по обеим, обе (_Local_Both)",,,
Мошенники взломали госуслуги,Вместо консультации на оператора,,,
Войти в карту/войти в счет,Нет доступа (_Local_No_Access),,,
активировать номер,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
восстановить номер ,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
не могу зайти в приложение пишет номер телефона не зарегистрирован,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
 банк украл деньги,УВ Странные операции,,,
приложение пишет что я сменил номер семь/не могу сделать перевод пишет что из-за смена номера,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
банкомат взял купюры и положил ее на карту,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Через банкомат пополнял стороннюю карту,_General Без вопроса (_General_Whithout_Question),,,
Не пришли деньги по СБП,Проблема с переводом (_Local_Cant_Transfer),,,
у меня нет  карты,Без вопроса,,,
можно ли с кредитной карты оплатить обучение в университете /садик,Вместо консультации на оператора,,,
можно связаться с верой,Оператор (Operator),_General Оператор (_General_Operator),,
на горячую линию домклик,_General Оформление Ипотеки (_General_Reg_Mortage),,,
заблокирован перевод/Перевела деньги заблокировали/ разблокировать перевод,Проблема с переводом (_Local_Cant_Transfer),,,
персональный менеджер,Оператор (Operator),_General Оператор (_General_Operator),,
войти в программу долями,_General_Podeli (_General_Подели) ,,,
почему поставили ограничения на переводы,Проблема с переводом (_Local_Cant_Transfer),,,
апельсиновая карта,_General_Банк X5 (_General_X5),,,
вопрос по изготовлению карты,УВ Получение карты (UV_TakeCard),,,
Потерял симку/номер,Разблокировать карту (_General_UnBlock),,,
подключить карту,УВ Карта (UV_Card),Карта (_Local_Card),,
справки и выписки,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Нет доступа к карте/счету;Восстановить доступ к карте/счету  ,"Вместо консультации на оператора
",,,
Восстановить доступ,_General Без вопроса (_General_Whithout_Question),,,
Сделать вклад на накопительный счёт,_General Накопительный счет (_General_Saving),,,
договор,_General Без вопроса (_General_Whithout_Question),,,
Поменять выбранные категории кэшбэка ,"Вместо консультации на оператора
",,,
Ограничения на снятие наличных/денежных средств,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Номер не совпадает с карточкой,Вместо консультации на оператора,,,
телефон горячей линии,_General Приветствие (_General_Hello),,,
реквизиты банка зарплатный проект,_General Номер счета УКД (_General_REKVISIT_UKD),,,
не могу зайти в приложение просит позвонить в банк,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
восстановить номер карты,Вместо консультации на оператора,,,
заблокировать карту взломали мошенники,_General Мошенничество_UNI (_General_Fraud_UNI),,,
два раза оплачен штраф,Отменить платеж (_Local_Cancel_Payment),Вернуть деньги (_Local_Return_Money),,
Партнеры,Терминалы партнеров (_Local_PartnerSalon_PaymentTerminal),Банкоматы партнеров (_Local_ATM_Partners),,
возврат денежных средств по азс заправки,_General Отмена платежа (_General_Cancel_Payment),,,
сохранение прожиточного минимума,Вместо консультации на оператора,,,
Позовите\ Позовите кожанного мешка\ Соедините с кожанным,Оператор (Operator),_General Оператор (_General_Operator),,
пополнение кредитной карты,Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
у меня по терминалу не проходит оплата по qr коду ,_General Платеж по QR (_General_Payment_QR),,,
не проходит оплата по терминалу по карте,_General Карта не работает (_General_Cardnotworking),,,
снять наличные,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
переведите на,_General Без вопроса (_General_Whithout_Question),,,
Добрый день позовите оператора/алло оператора,_General Приветствие (_General_Hello),,,
заблокировать карту,Потерял карту (_Local_Lost_Card),,,
дебетовую хотел отключить,Дебетовая карта (_Local_Debit_Card),,,
Награждение деньги вам и друзьям,Акция (_Local_Action),,,
мне не пришел кб,Проблема (_Local_Some_Problems),Кэшбэк (_Local_Cashback),,
Вывести деньги,_General Без вопроса (_General_Whithout_Question),,,
проверил деньги не пришли/срок зачисления/когда придут деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Статус (_Local_Status)
все вместе и то и другое не зачислил и не вернул карту,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (_Local_ATM_Problem),Банкоматы (_Local_ATM),
войти в личный кабинет по временному паролю или другим данным,Временный пароль (_Local_Temp_Password),,,
зайти по номеру карты,Получается (или дословно Можно войти) (_Local_Can_Enter),,,
вопрос по оформлению кредита/получить кредит,_General Заказ продуктов банка (_General_OrderCards),Оформить кредит (_Local_New_Credit),,
Вопрос по моему кредиту/оформил кредит ,Имеющийся кредит (_Local_Current_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),Кредит (_Local_Credit)
Кредит/кредит на карту,УВ Кредит (UV_Credit),Кредит (_Local_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit)
Лимит,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
Узнать про оформление,Новый продукт (_Local_Open),Оформить кредит (_Local_New_Credit),Оформить займ (_Local_New_MFO),
Открыть счет и закрыть карту (когда 2 вопроса в одном),_General Без вопроса (_General_Whithout_Question),,,
в АВС выбираем локал _Local_Activate с переводом Активация,,,,
В приложении,_General АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),
Оформить карту,УВ Заказ новой карты (UV_OrderCard),Новый продукт (_Local_Open),,
Перевыпустить карту,Действующая карта (CurrentCard),,,
Деньги отправила на  банк а деньги не пришли,Статус (_Local_Status),Не дошел (платеж) (_Local_Not_Received),,
Обе обе и кредитную и дебетовую карту хочу закрыть,"по обеим, обе (_Local_Both)",,,
